w,k,output,index,symbol
"tc.
","
",6336,7501,"tc.

"
"
Lore",m,5492,7502,"
Lorem"
m Ipsum is ,s,6045,7503,m Ipsum is s
simply d,u,5921,7504,simply du
ummy tex,t,4065,7505,ummy text
t of ,t,1664,7506,t of t
the ,p,867,7507,the p
printin,g,7135,7508,printing
g and ,t,6748,7509,g and t
typesetti,n,7137,7510,typesettin
ng ind,u,6750,7511,ng indu
ustry., ,7139,7512,ustry. 
 Lorem Ipsum h,a,6752,7513, Lorem Ipsum ha
as be,e,5049,7514,as bee
en th,e,3507,7515,en the
e in,d,7143,7516,e ind
dustry',s,5934,7517,dustry's
s standa,r,6756,7518,s standar
rd du,m,4064,7519,rd dum
mmy te,x,5037,7520,mmy tex
xt ev,e,7148,7521,xt eve
er si,n,6357,7522,er sin
nce th,e,6761,7523,nce the
e 1,5,365,7524,e 15
"500s, ",w,6360,7525,"500s, w"
when an ,u,6764,7526,when an u
unkno,w,2255,7527,unknow
wn p,r,7155,7528,wn pr
rinter, ,6767,7529,rinter 
 too,k,2926,7530, took
k a g,a,7158,7531,k a ga
alley o,f,6770,7532,alley of
f typ,e,4591,7533,f type
e an,d,5527,7534,e and
d sc,r,6773,7535,d scr
rambl,e,5529,7536,ramble
ed it t,o,6775,7537,ed it to
o mak,e,5079,7538,o make
e a t,y,3540,7539,e a ty
ype sp,e,4599,7540,ype spe
ecime,n,6375,7541,ecimen
n boo,k,5960,7542,n book
k. I,t,6781,7543,k. It
t has s,u,6378,7544,t has su
urvi,v,3549,7545,urviv
ved no,t,4099,7546,ved not
t only, ,4607,7547,t only 
 five ,c,7174,7548, five c
centuri,e,6788,7549,centurie
"es, but ",a,6386,7550,"es, but a"
also th,e,5547,7551,also the
e le,a,6389,7552,e lea
ap in,t,5549,7553,ap int
to el,e,4616,7554,to ele
ectron,i,4114,7555,ectroni
ic ty,p,5553,7556,ic typ
pesetti,n,6797,7557,pesettin
"ng, r",e,6395,7558,"ng, re"
emai,n,6799,7559,emain
ning e,s,6397,7560,ning es
ssent,i,5109,7561,ssenti
iall,y,2978,7562,ially
y un,c,2315,7563,y unc
change,d,6803,7564,changed
d. It, ,4628,7565,d. It 
 w,a,372,7566, wa
as popu,l,6404,7567,as popul
larise,d,6807,7568,larised
d in, ,5118,7569,d in 
 the 196,0,6809,7570, the 1960
0s wit,h,5992,7571,0s with
h the, ,4637,7572,h the 
 re,l,1400,7573, rel
lease of, ,5123,7574,lease of 
 L,e,321,7575, Le
etrase,t,5125,7576,etraset
t she,e,5998,7577,t shee
ets c,o,6817,7578,ets co
ontain,i,6415,7579,ontaini
ing Lorem Ips,u,7241,7580,ing Lorem Ipsu
um ,p,549,7581,um p
"passages, a",n,6821,7582,"passages, an"
nd mo,r,3006,7583,nd mor
re re,c,7209,7584,re rec
cently ,w,5135,7585,cently w
with d,e,4654,7586,with de
esktop publis,h,6571,7587,esktop publish
hing s,o,5587,7588,hing so
oftwa,r,6829,7589,oftwar
re lik,e,6427,7590,re like
e A,l,1607,7591,e Al
ldus Pa,g,7217,7592,ldus Pag
geMak,e,6833,7593,geMake
er in,c,6016,7594,er inc
clu,d,2369,7595,clud
ding ,v,6433,7596,ding v
versions o,f,7221,7597,versions of
f Lorem Ips,u,7420,7598,f Lorem Ipsu
"um.
",I,3032,7599,"um.
I"
It is a ,l,6840,7600,It is a l
long e,s,7302,7601,long es
stablish,e,6842,7602,stablishe
ed fact, ,6926,7603,ed fact 
 that a r,e,5157,7604, that a re
eader w,i,6532,7605,eader wi
ill b,e,5607,7606,ill be
e distrac,t,6930,7607,e distract
ted by th,e,7309,7608,ted by the
e readable ,c,7258,7609,e readable c
content of, ,4685,7610,content of 
 a page ,w,7234,7611, a page w
when look,i,6936,7612,when looki
ing at its ,l,7315,7613,ing at its l
layout. ,T,6133,7614,layout. T
The poi,n,5709,7615,The poin
nt of usin,g,6135,7616,nt of using
g Lore,m,5577,7617,g Lorem
m Ipsum is t,h,6943,7618,m Ipsum is th
hat it ,h,6138,7619,hat it h
has a more,-,6945,7620,has a more-
-or-les,s,7325,7621,-or-less
s normal ,d,7246,7622,s normal d
distribut,i,6466,7623,distributi
ion of ,l,6868,7624,ion of l
letters,",",6468,7625,"letters,"
", as op",p,5187,7626,", as opp"
posed to u,s,7332,7627,posed to us
sing 'Con,t,6954,7628,sing 'Cont
tent here,",",6874,7629,"tent here,"
", content h",e,7254,7630,", content he"
"ere', m",a,7336,7631,"ere', ma"
aking ,i,6477,7632,aking i
it look l,i,6566,7633,it look li
ike read,a,6065,7634,ike reada
able En,g,5732,7635,able Eng
glish. ,M,6569,7636,glish. M
Many deskt,o,7341,7637,Many deskto
op publ,i,5297,7638,op publi
ishing pa,c,7263,7639,ishing pac
ckages, ,6885,7640,ckages 
 and web p,a,7265,7641, and web pa
age edit,o,6576,7642,age edito
ors now ,u,7347,7643,ors now u
use Lore,m,6578,7644,use Lorem
m Ipsum as ,t,7349,7645,m Ipsum as t
their de,f,6973,7646,their def
fault mod,e,6493,7647,fault mode
el text,",",6170,7648,"el text,"
", and a ",s,7273,7649,", and a s"
search f,o,5218,7650,search fo
or 'lorem, ,6586,7651,or 'lorem 
 ipsum,',5221,7652, ipsum'
' will ,u,7357,7653,' will u
uncover ,m,3129,7654,uncover m
many web ,s,5225,7655,many web s
sites st,i,7361,7656,sites sti
ill in t,h,4254,7657,ill in th
heir i,n,5760,7658,heir in
nfanc,y,7284,7659,nfancy
y. Variou,s,6095,7660,y. Various
s version,s,7366,7661,s versions
s have, ,3849,7662,s have 
 evolv,e,4263,7663, evolve
ed over t,h,6600,7664,ed over th
he years,",",7290,7665,"he years,"
", sometimes ",b,5330,7666,", sometimes b"
by acciden,t,6517,7667,by accident
"t, so",m,7294,7668,"t, som"
metimes o,n,6519,7669,metimes on
n purpose, ,7376,7670,n purpose 
 (inj,e,6918,7671, (inje
ected humou,r,7378,7672,ected humour
r and t,h,7002,7673,r and th
he like,),3748,7674,he like)
").
It", ,3166,7675,").
It "
 is a l,o,7301,7676, is a lo
ong est,a,6438,7677,ong esta
ablish,e,5154,7678,ablishe
ed fact ,t,7603,7679,ed fact t
that a ,r,5254,7680,that a r
reader wi,l,5606,7681,reader wil
ll be ,d,3638,7682,ll be d
distract,e,7308,7683,distracte
ed by ,t,6848,7684,ed by t
the readabl,e,6536,7685,the readable
e cont,e,6933,7686,e conte
ent of ,a,7233,7687,ent of a
a page w,h,6935,7688,a page wh
hen looki,n,4795,7689,hen lookin
ng at it,s,5706,7690,ng at its
s layout,.,6856,7691,s layout.
. The po,i,5268,7692,. The poi
int of usi,n,6043,7693,int of usin
ng Lorem ,I,7320,7694,ng Lorem I
Ipsum i,s,6547,7695,Ipsum is
s that i,t,7322,7696,s that it
t has a ,m,6549,7697,t has a m
more-or-,l,6140,7698,more-or-l
less norm,a,6947,7699,less norma
al distr,i,6866,7700,al distri
ibution, ,7328,7701,ibution 
 of lett,e,4317,7702, of lette
"ers, as ",o,6870,7703,"ers, as o"
opposed, ,6470,7704,opposed 
 to usi,n,6057,7705, to usin
ng 'Cont,e,6873,7706,ng 'Conte
"ent here,", ,6150,7707,"ent here, "
 content he,r,7335,7708, content her
"re', ma",k,6476,7709,"re', mak"
king i,t,3090,7710,king it
t look like, ,7257,7711,t look like 
 readabl,e,6961,7712, readable
e Engl,i,3809,7713,e Engli
ish. Ma,n,7260,7714,ish. Man
ny des,k,6882,7715,ny desk
ktop pub,l,6159,7716,ktop publ
lishing pack,a,6966,7717,lishing packa
ages and w,e,5738,7718,ages and we
eb page ,e,6163,7719,eb page e
editors, ,3821,7720,editors 
 now us,e,4733,7721, now use
e Lorem Ipsum, ,6310,7722,e Lorem Ipsum 
 as ,t,1872,7723, as t
their def,a,7646,7724,their defa
ault mo,d,6581,7725,ault mod
"del text,", ,7272,7726,"del text, "
 and a s,e,5217,7727, and a se
earch fo,r,6497,7728,earch for
r 'lo,r,3713,7729,r 'lor
rem ipsu,m,7276,7730,rem ipsum
m' w,i,6176,7731,m' wi
ill unco,v,6501,7732,ill uncov
ver many w,e,6901,7733,ver many we
eb sites, ,6091,7734,eb sites 
 still ,i,6181,7735, still i
in their i,n,6986,7736,in their in
nfancy,.,7659,7737,nfancy.
. Various, ,6906,7738,. Various 
 version,s,6434,7739, versions
s have ,e,7662,7740,s have e
evolve,d,4862,7741,evolved
d ove,r,5327,7742,d over
r the y,e,6993,7743,r the ye
"ears, some",t,6912,7744,"ears, somet"
times by, ,7292,7745,times by 
 accide,n,6914,7746, acciden
"nt, somet",i,7374,7747,"nt, someti"
imes o,n,3287,7748,imes on
n purpose ,(,7670,7749,n purpose (
(injecte,d,7297,7750,(injected
d humo,u,4420,7751,d humou
ur and t,h,7379,7752,ur and th
he like),.,7674,7753,he like).
".
Ther",e,5342,7754,".
There"
e ar,e,1980,7755,e are
e man,y,6614,7756,e many
y var,i,6203,7757,y vari
iat,i,4396,7758,iati
ions of, ,6617,7759,ions of 
 passage,s,5819,7760, passages
s of Lo,r,4886,7761,s of Lor
rem Ipsum a,v,3824,7762,rem Ipsum av
vailable,",",7389,7763,"vailable,"
", but ",t,3881,7764,", but t"
the maj,o,4892,7765,the majo
ority h,a,7393,7766,ority ha
ave su,f,4895,7767,ave suf
ffered, ,7018,7768,ffered 
 alter,a,7396,7769, altera
ation i,n,6219,7770,ation in
n som,e,4415,7771,n some
e fo,r,6221,7772,e for
"rm,", ,1175,7773,"rm, "
 by inje,c,6223,7774, by injec
cted humour,",",7001,7775,"cted humour,"
", or ra",n,4907,7776,", or ran"
ndomi,s,7028,7777,ndomis
sed wor,d,6228,7778,sed word
ds wh,i,7406,7779,ds whi
ich don,',6230,7780,ich don'
't l,o,3906,7781,'t lo
ook ev,e,6643,7782,ook eve
en sli,g,6233,7783,en slig
ghtl,y,4432,7784,ghtly
y beli,e,7036,7785,y belie
evable,.,7413,7786,evable.
. If y,o,2726,7787,. If yo
ou ar,e,7040,7788,ou are
e goi,n,7416,7789,e goin
ng to u,s,6652,7790,ng to us
se a p,a,7418,7791,se a pa
assage ,o,5390,7792,assage o
"of Lorem Ipsum,", ,7045,7793,"of Lorem Ipsum, "
 you n,e,6246,7794, you ne
eed t,o,5394,7795,eed to
o b,e,2059,7796,o be
e sure ,t,6659,7797,e sure t
there ,i,7425,7798,there i
isn't ,a,6661,7799,isn't a
anyth,i,3370,7800,anythi
ing emba,r,7428,7801,ing embar
rras,s,7054,7802,rrass
sing h,i,7430,7803,sing hi
idden i,n,6258,7804,idden in
n the mid,d,6668,7805,n the midd
dle, ,4947,7806,dle 
 of tex,t,5409,7807, of text
t. ,A,1660,7808,t. A
All th,e,7436,7809,All the
e Lorem Ipsum ,g,7722,7810,e Lorem Ipsum g
generators o,n,6266,7811,generators on
n the Int,e,3975,7812,n the Inte
ernet ,t,7441,7813,ernet t
tend to, ,5845,7814,tend to 
 repe,a,5020,7815, repea
at pre,d,4960,7816,at pred
define,d,6683,7817,defined
d chu,n,4478,7818,d chun
nks a,s,7447,7819,nks as
s ne,c,1298,7820,s nec
cessar,y,7076,7821,cessary
"y, ma",k,6278,7822,"y, mak"
king t,h,7078,7823,king th
his th,e,6281,7824,his the
e firs,t,7080,7825,e first
t true, ,6284,7826,t true 
 generato,r,7454,7827, generator
r on t,h,6287,7828,r on th
he Inte,r,7456,7829,he Inter
rnet,.,6289,7830,rnet.
. It uses, ,7087,7831,. It uses 
 a dic,t,4980,7832, a dict
tionary, ,5444,7833,tionary 
 of ove,r,6702,7834, of over
r 2,0,1333,7835,r 20
00 Lat,i,7464,7836,00 Lati
in wo,r,5875,7837,in wor
"rds, c",o,7466,7838,"rds, co"
ombi,n,6707,7839,ombin
ned wi,t,4990,7840,ned wit
th a h,a,6301,7841,th a ha
andful, ,5881,7842,andful 
 of mo,d,2828,7843, of mod
del se,n,7100,7844,del sen
ntence, ,6714,7845,ntence 
 stru,c,7474,7846, struc
"ctures,", ,6307,7847,"ctures, "
 to ge,n,7477,7848, to gen
nerate, ,5002,7849,nerate 
 Lorem Ipsum whic,h,7479,7850, Lorem Ipsum which
h l,o,2168,7851,h lo
ooks r,e,7108,7852,ooks re
eason,a,5467,7853,easona
able. The, ,7483,7854,able. The 
 generate,d,6309,7855, generated
d Lorem, ,5899,7856,d Lorem 
 Ipsum is, ,7321,7857, Ipsum is 
 therefo,r,7487,7858, therefor
re alw,a,6322,7859,re alwa
ays fr,e,7489,7860,ays fre
ee fro,m,6730,7861,ee from
m repe,t,7119,7862,m repet
tition,",",5908,7863,"tition,"
", inje",c,5023,7864,", injec"
"cted humour,", ,7775,7865,"cted humour, "
 or no,n,7123,7866, or non
n-char,a,6736,7867,n-chara
acteri,s,5029,7868,acteris
stic w,o,5916,7869,stic wo
ords et,c,7500,7870,ords etc
"c.

L",o,7129,7871,"c.

Lo"
orem Ipsum is si,m,5034,7872,orem Ipsum is sim
mply ,d,7131,7873,mply d
dummy te,x,6758,7874,dummy tex
xt o,f,4555,7875,xt of
f th,e,5039,7876,f the
e pri,n,4557,7877,e prin
nting ,a,5041,7878,nting a
and t,y,903,7879,and ty
ypesettin,g,6394,7880,ypesetting
g indu,s,4053,7881,g indus
stry., ,2229,7882,stry. 
 Lorem Ipsum ha,s,7513,7883, Lorem Ipsum has
s be,e,1457,7884,s bee
en the, ,7515,7885,en the 
 indu,s,5045,7886, indus
stry,',1462,7887,stry'
's stan,d,6353,7888,'s stand
dard ,d,7146,7889,dard d
dummy tex,t,7874,7890,dummy text
t ever, ,5058,7891,t ever 
 sin,c,2914,7892, sinc
ce th,e,7150,7893,ce the
e 15,0,7524,7894,e 150
"00s, w",h,6763,7895,"00s, wh"
hen an ,u,7153,7896,hen an u
unknow,n,7527,7897,unknown
n prin,t,5067,7898,n print
ter to,o,4077,7899,ter too
ok a ga,l,6769,7900,ok a gal
lley ,o,5072,7901,lley o
of typ,e,6771,7902,of type
e and, ,7534,7903,e and 
 sc,r,406,7904, scr
ramble,d,7536,7905,rambled
d it ,t,5955,7906,d it t
to mak,e,6776,7907,to make
e a ty,p,7539,7908,e a typ
pe sp,e,7166,7909,pe spe
ecimen, ,7541,7910,ecimen 
 book,.,6780,7911, book.
. It has, ,4603,7912,. It has 
 surv,i,7170,7913, survi
ived no,t,6784,7914,ived not
t only ,f,7547,7915,t only f
five c,e,6787,7916,five ce
enturi,e,3555,7917,enturie
"es, but a",l,7550,7918,"es, but al"
lso t,h,6791,7919,lso th
he leap, ,5973,7920,he leap 
 into ,e,6793,7921, into e
elect,r,5551,7922,electr
ronic, ,5103,7923,ronic 
 typesettin,g,6749,7924, typesetting
g,",",g,7925,"g,"
", remai",n,4621,7926,", remain"
ning es,s,7560,7927,ning ess
sentiall,y,7188,7928,sentially
y unc,h,7563,7929,y unch
hanged., ,7190,7930,hanged. 
 It was, ,5987,7931, It was 
 popu,l,7192,7932, popul
larised, ,7568,7933,larised 
 in the ,1,4131,7934, in the 1
1960s, ,3587,7935,1960s 
 with ,t,5121,7936, with t
the relea,s,5569,7937,the releas
se of, ,6813,7938,se of 
 Le,t,7575,7939, Let
traset ,s,6815,7940,traset s
sheet,s,4141,7941,sheets
s con,t,4644,7942,s cont
ta,i,541,7943,tai
ining Lo,r,7205,7944,ining Lor
rem Ipsum ,p,3197,7945,rem Ipsum p
"passages, an",d,7582,7946,"passages, and"
d mo,r,5133,7947,d mor
re rec,e,7584,7948,re rece
ently ,w,6007,7949,ently w
with de,s,7586,7950,with des
sktop publ,i,6883,7951,sktop publi
ishing ,s,5204,7952,ishing s
software ,l,7215,7953,software l
like Al,d,4660,7954,like Ald
dus Pag,e,6832,7955,dus Page
eMa,k,2366,7956,eMak
ker in,c,6834,7957,ker inc
clud,i,7595,7958,cludi
ing vers,i,6836,7959,ing versi
ions of ,L,7759,7960,ions of L
"Lorem Ipsum.
",I,5599,7961,"Lorem Ipsum.
I"
It is a l,o,7600,7962,It is a lo
ong esta,b,7677,7963,ong estab
blished fa,c,5603,7964,blished fac
ct that a, ,6844,7965,ct that a 
 reader w,i,7306,7966, reader wi
ill be, ,7606,7967,ill be 
 distracte,d,6847,7968, distracted
d by th,e,5700,7969,d by the
e readable c,o,7609,7970,e readable co
ontent of a p,a,5165,7971,ontent of a pa
age when, ,4687,7972,age when 
 looki,n,6854,7973, lookin
ng at its, ,7690,7974,ng at its 
 layout,.,7316,7975, layout.
. The poi,n,7692,7976,. The poin
nt of using, ,7616,7977,nt of using 
 Lorem Ipsum is ,t,7486,7978, Lorem Ipsum is t
that it h,a,6944,7979,that it ha
as a mor,e,6047,7980,as a more
e-or-l,e,6946,7981,e-or-le
ess norma,l,6865,7982,ess normal
l distr,i,6553,7983,l distri
ibution ,o,7701,7984,ibution o
of letter,s,4812,7985,of letters
"s, as o",p,6469,7986,"s, as op"
pposed ,t,6056,7987,pposed t
to using ,',3797,7988,to using '
'Conten,t,6560,7989,'Content
"t here,", ,4714,7990,"t here, "
 content her,e,7708,7991, content here
"e', m",a,6564,7992,"e', ma"
aking i,t,7632,7993,aking it
t look like ,r,7711,7994,t look like r
readable ,E,5198,7995,readable E
English. M,a,7340,7996,English. Ma
any deskt,o,7261,7997,any deskto
op publi,s,7638,7998,op publis
shing p,a,7343,7999,shing pa
ackages ,a,7264,8000,ackages a
and web p,a,7345,8001,and web pa
age edito,r,7642,8002,age editor
rs now, ,3699,8003,rs now 
 use Lorem, ,7348,8004, use Lorem 
 Ipsum ,a,4401,8005, Ipsum a
as their def,a,5657,8006,as their defa
ault mod,e,7725,8007,ault mode
"el text,", ,7648,8008,"el text, "
 and a se,a,7727,8009, and a sea
arch fo,r,5662,8010,arch for
r 'lor,e,7729,8011,r 'lore
em ipsu,m,6499,8012,em ipsum
m' wi,l,7731,8013,m' wil
ll uncov,e,6589,8014,ll uncove
er many ,w,7279,8015,er many w
web sites, ,6902,8016,web sites 
 still i,n,7735,8017, still in
n their ,i,7363,8018,n their i
infancy. V,a,6987,8019,infancy. Va
arious v,e,4370,8020,arious ve
ersions ha,v,7287,8021,ersions hav
ve evolve,d,6512,8022,ve evolved
d over, ,7742,8023,d over 
 the ye,a,6514,8024, the yea
"ars, so",m,6101,8025,"ars, som"
metimes b,y,6516,8026,metimes by
y accident,",",7293,8027,"y accident,"
", sometimes ",o,5330,8028,", sometimes o"
on purpose (,i,7296,8029,on purpose (i
injected humour, ,6328,8030,injected humour 
 and the li,k,7299,8031, and the lik
"ke).
",I,5690,8032,"ke).
I"
It is a lo,n,7962,8033,It is a lon
ng establi,s,7224,8034,ng establis
shed fa,c,7304,8035,shed fac
ct that a ,r,7965,8036,ct that a r
reader wil,l,7681,8037,reader will
l be, ,4178,8038,l be 
 distracted, ,7968,8039, distracted 
 by th,e,7230,8040, by the
e readable co,n,7970,8041,e readable con
ntent of a p,a,6538,8042,ntent of a pa
age when ,l,7972,8043,age when l
looking ,a,5616,8044,looking a
at its l,a,6132,8045,at its la
ayout. ,T,6041,8046,ayout. T
The poin,t,7615,8047,The point
t of usin,g,6859,8048,t of using
g Lorem, ,7617,8049,g Lorem 
 Ipsum is ,t,7857,8050, Ipsum is t
that it ha,s,7979,8051,that it has
s a mor,e,5625,8052,s a more
e-or-le,s,7981,8053,e-or-les
ss norm,a,7326,8054,ss norma
al distri,b,7700,8055,al distrib
bution of, ,5280,8056,bution of 
 letter,s,7330,8057, letters
"s, as op",p,7986,8058,"s, as opp"
posed to us,i,7627,8059,posed to usi
ing 'Conte,n,6149,8060,ing 'Conten
nt here,",",6561,8061,"nt here,"
", content he",r,7630,8062,", content her"
"re', mak",i,7709,8063,"re', maki"
ing it l,o,3805,8064,ing it lo
ook lik,e,4720,8065,ook like
e readable E,n,7339,8066,e readable En
nglish. Ma,n,6157,8067,nglish. Man
ny desk,t,7715,8068,ny deskt
top publis,h,7342,8069,top publish
hing p,a,4339,8070,hing pa
ackages a,n,8000,8071,ackages an
nd web p,a,6968,8072,nd web pa
age editor,s,8002,8073,age editors
s now u,s,4233,8074,s now us
se Lorem, ,7268,8075,se Lorem 
 Ipsum a,s,8005,8076, Ipsum as
s their defaul,t,7270,8077,s their default
t model ,t,5215,8078,t model t
"text, and", ,5309,8079,"text, and "
 a search, ,6977,8080, a search 
 for 'lor,e,7275,8081, for 'lore
em ipsum,',8012,8082,em ipsum'
' will u,n,7653,8083,' will un
ncover m,a,5224,8084,ncover ma
any web ,s,5668,8085,any web s
sites sti,l,7656,8086,sites stil
ll in the,i,7282,8087,ll in thei
ir inf,a,5229,8088,ir infa
ancy. ,V,4756,8089,ancy. V
Various, ,6988,8090,Various 
 versions, ,7739,8091, versions 
 have e,v,4861,8092, have ev
volved, ,5326,8093,volved 
 over ,t,5871,8094, over t
the year,s,6601,8095,the years
"s, someti",m,7371,8096,"s, sometim"
mes by, ,4269,8097,mes by 
 acciden,t,7746,8098, accident
"t, som",e,7668,8099,"t, some"
etimes on, ,6998,8100,etimes on 
 purp,o,5336,8101, purpo
ose (in,j,5686,8102,ose (inj
jected humour, ,7025,8103,jected humour 
 and the lik,e,8031,8104, and the like
"e).
T",h,7381,8105,"e).
Th"
here ar,e,4392,8106,here are
e many, ,7756,8107,e many 
 va,r,1983,8108, var
riatio,n,7384,8109,riation
ns of ,p,6435,8110,ns of p
passages of, ,7386,8111,passages of 
 Lorem Ipsum a,v,5305,8112, Lorem Ipsum av
"vailable,", ,7763,8113,"vailable, "
 but ,t,4405,8114, but t
the majo,r,7765,8115,the major
rity, ,3884,8116,rity 
 have suf,f,7017,8117, have suff
fered ,a,7395,8118,fered a
altera,t,4899,8119,alterat
tion i,n,6631,8120,tion in
n some, ,7771,8121,n some 
" form, b",y,6633,8122," form, by"
y in,j,7401,8123,y inj
jected humour,",",7025,8124,"jected humour,"
", or ran",d,7776,8125,", or rand"
dom,i,2708,8126,domi
ised wor,d,7029,8127,ised word
ds whi,c,7779,8128,ds whic
ch do,n,7031,8129,ch don
n't lo,o,6642,8130,n't loo
ok e,v,7033,8131,ok ev
ven sl,i,7410,8132,ven sli
ightly, ,7035,8133,ightly 
 belie,v,7412,8134, believ
vable,.,5381,8135,vable.
. If yo,u,7787,8136,. If you
u ar,e,4437,8137,u are
e goin,g,7789,8138,e going
g to ,u,7042,8139,g to u
use a p,a,6653,8140,use a pa
assage o,f,7792,8141,assage of
f Lorem Ipsu,m,7598,8142,f Lorem Ipsum
"m, y",o,6656,8143,"m, yo"
ou n,e,2056,8144,ou ne
eed to, ,7795,8145,eed to 
 be s,u,2743,8146, be su
ure ,t,3365,8147,ure t
there i,s,7798,8148,there is
sn't, ,7050,8149,sn't 
 anythi,n,7427,8150, anythin
ng emb,a,6254,8151,ng emba
arrass,i,7429,8152,arrassi
ing hid,d,4458,8153,ing hidd
den in, ,6667,8154,den in 
 the mid,d,5407,8155, the midd
dle ,o,7806,8156,dle o
of tex,t,6670,8157,of text
t. A,l,7808,8158,t. Al
ll th,e,7062,8159,ll the
e Lorem Ipsum g,e,7810,8160,e Lorem Ipsum ge
enerators o,n,7439,8161,enerators on
n the Inte,r,7812,8162,n the Inter
rnet, ,6289,8163,rnet 
 tend t,o,7442,8164, tend to
o re,p,5846,8165,o rep
peat pr,e,7444,8166,peat pre
edefin,e,5422,8167,edefine
ed chu,n,7073,8168,ed chun
nks as, ,7819,8169,nks as 
 ne,c,2106,8170, nec
cessary,",",7821,8171,"cessary,"
", making thi",s,7450,8172,", making this"
s the ,f,3968,8173,s the f
first ,t,7452,8174,first t
true ,g,5434,8175,true g
generator ,o,6694,8176,generator o
on the Inte,r,7440,8177,on the Inter
rnet., ,7830,8178,rnet. 
 It us,e,7458,8179, It use
es a ,d,6699,8180,es a d
dicti,o,3981,8181,dictio
onary, ,7461,8182,onary 
 of over, ,7834,8183, of over 
 2,0,5872,8184, 20
00 Lati,n,7836,8185,00 Latin
n wo,r,5448,8186,n wor
"rds, co",m,7838,8187,"rds, com"
mbine,d,4505,8188,mbined
d wi,t,5879,8189,d wit
th a ha,n,7841,8190,th a han
ndful, ,7470,8191,ndful 
 of mod,e,7843,8192, of mode
el ,s,1355,8193,el s
sentence, ,6305,8194,sentence 
 struc,t,7846,8195, struct
tures,",",6716,8196,"tures,"
", to ",g,6308,8197,", to g"
generate L,o,6718,8198,generate Lo
orem Ipsum ,w,1991,8199,orem Ipsum w
which look,s,6720,8200,which looks
s reas,o,6314,8201,s reaso
onable., ,4525,8202,onable. 
 The g,e,3458,8203, The ge
enerated L,o,6725,8204,enerated Lo
orem Ipsum is th,e,4306,8205,orem Ipsum is the
eref,o,6727,8206,erefo
ore alwa,y,7488,8207,ore alway
ys ,f,4532,8208,ys f
free, ,7117,8209,free 
 from, ,4534,8210, from 
 repet,i,5907,8211, repeti
ition,",",4537,8212,"ition,"
", injec",t,7864,8213,", inject"
ted humou,r,6110,8214,ted humour
"r, or", ,7026,8215,"r, or "
 non-,c,7496,8216, non-c
charac,t,4544,8217,charact
terist,i,6333,8218,teristi
ic w,o,4037,8219,ic wo
ords etc,.,7870,8220,ords etc.
".

Lor",e,5919,8221,".

Lore"
em Ipsum is s,i,5493,8222,em Ipsum is si
imply ,d,6743,8223,imply d
dummy text, ,7890,8224,dummy text 
 of the pr,i,5497,8225, of the pri
inting, ,4558,8226,inting 
 and ty,p,5042,8227, and typ
pesettin,g,7557,8228,pesetting
g indus,t,7881,8229,g indust
try., ,3503,8230,try. 
 Lorem Ipsum has, ,7883,8231, Lorem Ipsum has 
 be,e,641,8232, bee
en the ,i,7885,8233,en the i
industry,',4060,8234,industry'
's stand,a,7888,8235,'s standa
ard d,u,6757,8236,ard du
ummy text, ,7505,8237,ummy text 
 eve,r,1202,8238, ever
r si,n,5059,8239,r sin
nce the, ,7523,8240,nce the 
 15,0,2249,8241, 150
"00s, wh",e,7895,8242,"00s, whe"
en an, ,5064,8243,en an 
 unknow,n,7154,8244, unknown
n print,e,7898,8245,n printe
er took ,a,5947,8246,er took a
a gal,l,5071,8247,a gall
ley ,o,5525,8248,ley o
of type, ,7902,8249,of type 
 and sc,r,6369,8250, and scr
rambled, ,7905,8251,rambled 
 it to ,m,7163,8252, it to m
make a ,t,5532,8253,make a t
type sp,e,6778,8254,type spe
ecimen ,b,7910,8255,ecimen b
book. I,t,7168,8256,book. It
t has su,r,7544,8257,t has sur
rvived ,n,5964,8258,rvived n
not on,l,6381,8259,not onl
ly fiv,e,3553,8260,ly five
e cent,u,6384,8261,e centu
uries,",",2292,8262,"uries,"
", but al",s,5096,8263,", but als"
so th,e,5972,8264,so the
e lea,p,7552,8265,e leap
p into ,e,7180,8266,p into e
electr,o,7922,8267,electro
onic t,y,5977,8268,onic ty
ypesetting,",",7880,8269,"ypesetting,"
", remain",i,7926,8270,", remaini"
ing ess,e,7187,8271,ing esse
entiall,y,6801,8272,entially
y unch,a,7929,8273,y uncha
ange,d,4124,8274,anged
d. It ,w,7565,8275,d. It w
was p,o,4127,8276,was po
opul,a,4631,8277,opula
arise,d,3584,8278,arised
d in ,t,7569,8279,d in t
the 19,6,7195,8280,the 196
60s w,i,6810,8281,60s wi
ith the, ,6409,8282,ith the 
 rel,e,7573,8283, rele
ease o,f,6411,8284,ease of
f Letr,a,7200,8285,f Letra
aset, ,5997,8286,aset 
 sheet,s,7202,8287, sheets
s cont,a,7942,8288,s conta
aining Lo,r,4646,8289,aining Lor
rem Ipsum p,a,7945,8290,rem Ipsum pa
assages,",",4885,8291,"assages,"
", and mor",e,7208,8292,", and more"
e re,c,752,8293,e rec
cently w,i,7585,8294,cently wi
ith des,k,6826,8295,ith desk
ktop publ,i,7716,8296,ktop publi
ishing s,o,7952,8297,ishing so
oftwar,e,7589,8298,oftware
e like ,A,6012,8299,e like A
Aldus P,a,5142,8300,Aldus Pa
ageMaker, ,7218,8301,ageMaker 
 inclu,d,4665,8302, includ
